Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-07-13,902963,WITHDRAWAL,0.0,80.0,0.0
2024-07-13,2405744,WITHDRAWAL,0.0,2405744.0,77631667.0
2024-07-14,2057236,WITHDRAWAL,0.0,11.0,0.0
2024-07-15,674047,WITHDRAWAL,0.0,25.0,0.0
2024-07-15,1160639,WITHDRAWAL,0.0,15.0,0.0
2024-07-15,1190389,WITHDRAWAL,0.0,10.0,0.0
2024-07-15,1196048,WITHDRAWAL,0.0,15.0,0.0
2024-07-15,1633463,WITHDRAWAL,0.0,150.0,0.0
2024-07-15,2292906,WITHDRAWAL,0.0,60.0,0.0
2024-07-01,1987844,DEPOSIT,0.0,1987844.0,0.0
2024-07-01,2027869,DEPOSIT,0.0,2027869.0,0.0
2024-07-01,2042190,WITHDRAWAL,0.0,435.0,0.0
2024-07-01,2049163,WITHDRAWAL,0.0,100.0,0.0
2024-07-01,2066039,WITHDRAWAL,0.0,25.0,0.0
2024-07-01,2066798,WITHDRAWAL,0.0,50.0,0.0
2024-07-01,2108180,DEPOSIT,0.0,2108180.0,0.0
2024-07-01,2204948,WITHDRAWAL,0.0,2204948.0,0.0
2024-07-01,2288596,DEPOSIT,0.0,2288596.0,0.0
2024-07-01,2274232,WITHDRAWAL,0.0,2274232.0,0.0
2024-07-01,2425629,DEBIT,49.0,0.0,36.84
2024-07-02,443235,WITHDRAWAL,0.0,30.0,0.0
2024-07-02,1748148,DEPOSIT,0.0,1748148.0,0.0
2024-07-02,2092747,WITHDRAWAL,0.0,40.0,0.0
2024-07-03,1433087,WITHDRAWAL,0.0,5.0,0.0
2024-07-05,1952954,WITHDRAWAL,0.0,10.0,0.0
2024-07-05,1984377,DEPOSIT,0.0,1984377.0,0.0
2024-07-05,1989469,WITHDRAWAL,0.0,740.0,0.0
2024-07-05,2039857,DEBIT,49.0,0.0,12.84
2024-07-05,2125824,DEBIT,10.0,0.0,2.84
2024-07-07,1518153,DEPOSIT,0.0,1518153.0,0.0
2024-07-07,1569052,WITHDRAWAL,0.0,694.0,0.0
2024-07-08,1663388,WITHDRAWAL,0.0,100.0,0.0
2024-07-08,1752598,WITHDRAWAL,0.0,100.0,0.0
2024-07-08,2275305,WITHDRAWAL,0.0,2275305.0,77635327.0
2024-07-09,611820,WITHDRAWAL,0.0,150.0,0.0
2024-07-09,928560,WITHDRAWAL,0.0,235.0,0.0
2024-07-09,942325,WITHDRAWAL,0.0,250.0,0.0
2024-07-09,1038132,WITHDRAWAL,0.0,100.0,0.0
2024-07-09,1069456,WITHDRAWAL,0.0,2950.0,0.0
2024-07-09,1217681,WITHDRAWAL,0.0,1750.0,0.0
2024-07-09,1322908,WITHDRAWAL,0.0,378.0,0.0
2024-07-09,1378321,DEBIT,99.0,0.0,8176.84
2024-07-09,1495369,WITHDRAWAL,0.0,2380.0,0.0
2024-07-09,1658005,WITHDRAWAL,0.0,365.0,0.0
2024-07-09,1702464,WITHDRAWAL,0.0,130.0,0.0
2024-07-09,1705674,WITHDRAWAL,0.0,65.0,0.0
2024-07-09,1980019,WITHDRAWAL,0.0,260.0,0.0
2024-07-09,1995599,WITHDRAWAL,0.0,340.0,0.0
2024-07-09,2047389,WITHDRAWAL,0.0,500.0,0.0
2024-07-09,2214093,WITHDRAWAL,0.0,320.0,0.0
2024-07-09,2314522,WITHDRAWAL,0.0,200.0,0.0
2024-07-09,2616478,DEBIT,99.0,0.0,3517.84
2024-07-10,950011984,WITHDRAWAL,0.0,950011984.0,0.0
2024-07-10,121971,WITHDRAWAL,0.0,1000.0,0.0
2024-07-10,482916,WITHDRAWAL,0.0,30.0,0.0
2024-07-10,524410,WITHDRAWAL,0.0,80.0,0.0
2024-07-10,557730,WITHDRAWAL,0.0,75.0,0.0
2024-07-10,573087,WITHDRAWAL,0.0,40.0,0.0
2024-07-10,577573,WITHDRAWAL,0.0,150.0,0.0
2024-07-10,648332,WITHDRAWAL,0.0,200.0,0.0
2024-07-10,672971,WITHDRAWAL,0.0,220.0,0.0
2024-07-10,1064991,WITHDRAWAL,0.0,30.0,0.0
2024-07-10,1171028,WITHDRAWAL,0.0,230.0,0.0
2024-07-10,1176407,WITHDRAWAL,0.0,40.0,0.0
2024-07-10,1838918,WITHDRAWAL,0.0,200.0,0.0
2024-07-10,2083205,WITHDRAWAL,0.0,2083205.0,77631667.0
2024-07-11,1804398,DEPOSIT,0.0,1804398.0,0.0
2024-07-11,1848168,DEPOSIT,0.0,1848168.0,0.0
2024-07-11,1849451,WITHDRAWAL,0.0,60.0,0.0
2024-07-11,2168606,DEBIT,49.0,0.0,1013.84
2024-07-12,2317408,DEBIT,99.0,0.0,914.84
2024-07-13,799672,WITHDRAWAL,0.0,799672.0,0.0
2024-08-25,1914063,DEBIT,19.0,0.0,20.17
2024-08-26,20639,DEPOSIT,0.0,20639.0,0.0
2024-08-26,332849,WITHDRAWAL,0.0,45.0,0.0
2024-08-26,2346422,DEBIT,99.0,0.0,76.17
2024-08-27,42346,WITHDRAWAL,0.0,75.0,0.0
2024-07-16,1054905,WITHDRAWAL,0.0,45.0,0.0
2024-07-17,1482786,WITHDRAWAL,0.0,70.0,0.0
2024-07-17,1489937,WITHDRAWAL,0.0,45.0,0.0
2024-07-18,2196582,DEBIT,19.0,0.0,806.84
2024-07-20,20833,WITHDRAWAL,0.0,300.0,0.0
2024-07-20,846533,WITHDRAWAL,0.0,140.0,0.0
2024-07-20,953654,WITHDRAWAL,0.0,366.0,0.0
2024-07-22,961954,DEPOSIT,0.0,961954.0,0.0
2024-07-22,1167828,WITHDRAWAL,0.0,160.0,0.0
2024-07-22,1169415,WITHDRAWAL,0.0,40.0,0.0
2024-07-22,2248187,DEPOSIT,0.0,2248187.0,0.0
2024-07-23,615514,WITHDRAWAL,0.0,100.0,0.0
2024-07-23,961948,WITHDRAWAL,0.0,50.0,0.0
2024-07-23,1203867,WITHDRAWAL,0.0,150.0,0.0
2024-07-23,1740590,WITHDRAWAL,0.0,170.0,0.0
2024-07-23,1774829,WITHDRAWAL,0.0,225.0,0.0
